run,n_steps,n_buddi_samples,n_chi3d_pairs,fid_vs_chi3d,noise_floor_mean,noise_floor_std
generate_1000_100_v0,10,512,373,30.908510774435708,2.53314481417679,0.11397724489944629
generate_1000_50_v0,20,512,373,30.396270151635285,2.53314481417679,0.11397724489944629
generate_1000_25_v0,40,512,373,30.2141350578153,2.53314481417679,0.11397724489944629
generate_1000_10_v0,100,512,373,30.256764373821202,2.53314481417679,0.11397724489944629
