n_steps,max_t,skip,n_samples,diversity_mm,interpenetration_mean,severe_interpen_frac,self_fid,fid_vs_chi3d
10,1000,100,512,420.2558398246765,3.45703125,0.015625,0.4322169820080367,30.908510774435708
20,1000,50,512,454.0443122386933,3.16796875,0.009765625,0.1364181429998859,30.396270151635285
40,1000,25,512,457.6736390590668,2.900390625,0.0078125,0.0277273491364345,30.2141350578153
100,1000,10,512,465.1094079017639,2.83984375,0.009765625,0.0,30.256764373821202
