source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.006243511568754911,0.0,7.2839579843275715e-06,1.4567915968655143e-05
chi3d,-1,0.008386505767703056,0.0,3.6419789921637857e-06,4.370374881546013e-05
chi3d,-1,0.0025371836964040995,1.0925937203865033e-05,9.469145152252167e-05,0.000717469840310514
chi3d,-1,0.008768693543970585,0.0,3.6419789921637857e-06,2.9135831937310286e-05
chi3d,-1,0.010719969868659973,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.009160968475043774,0.0,7.2839579843275715e-06,3.641979128587991e-05
chi3d,-1,0.06171303242444992,0.0,0.0,0.0
chi3d,-1,0.039964932948350906,0.0,0.0,0.0
chi3d,-1,0.03321658447384834,0.0,0.0,0.0
chi3d,-1,0.02545158751308918,0.0,0.0,0.0
chi3d,-1,0.01032775454223156,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.06558255106210709,0.0,0.0,0.0
chi3d,-1,0.048644062131643295,0.0,0.0,0.0
chi3d,-1,0.03150951489806175,0.0,0.0,0.0
chi3d,-1,0.0799499973654747,0.0,0.0,0.0
chi3d,-1,0.09363771975040436,0.0,0.0,0.0
chi3d,-1,0.07055706530809402,0.0,0.0,0.0
chi3d,-1,0.041353918612003326,0.0,0.0,0.0
chi3d,-1,0.059349022805690765,0.0,0.0,0.0
chi3d,-1,0.0696500763297081,0.0,0.0,0.0
chi3d,-1,0.0921609029173851,0.0,0.0,0.0
chi3d,-1,0.00558863440528512,0.0,5.827166387462057e-05,0.00035691395169124007
chi3d,-1,0.006352349650114775,0.0,7.2839579843275715e-06,0.00012018530833302066
chi3d,-1,0.020037386566400528,0.0,0.0,0.0
chi3d,-1,0.010375258512794971,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.0165079515427351,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.015837183222174644,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.014583188109099865,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.011513502337038517,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.023614848032593727,0.0,0.0,0.0
chi3d,-1,0.00967979896813631,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.0023920799139887094,3.6419789921637857e-06,3.6419789921637857e-06,1.0925937203865033e-05
chi3d,-1,0.02198350429534912,0.0,0.0,0.0
chi3d,-1,0.0291561558842659,0.0,0.0,0.0
chi3d,-1,0.009905011393129826,0.0,3.6419789921637857e-06,3.2777810702100396e-05
chi3d,-1,0.01609107106924057,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.013491945341229439,0.0,0.0,1.8209895642939955e-05
chi3d,-1,0.0171976238489151,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.01218748465180397,0.0,0.0,2.5493853172520176e-05
chi3d,-1,0.023212624713778496,0.0,0.0,0.0
chi3d,-1,0.009003461338579655,0.0,7.2839579843275715e-06,2.5493853172520176e-05
chi3d,-1,0.013553652912378311,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.01487455703318119,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.010224800556898117,0.0,0.0,8.376551704714075e-05
chi3d,-1,0.005787729285657406,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.009624220430850983,0.0,3.6419789921637857e-06,2.9135831937310286e-05
chi3d,-1,0.0040412466041743755,3.6419789921637857e-06,2.1851874407730065e-05,0.00012382728164084256
chi3d,-1,0.017000673338770866,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.00977172702550888,0.0,3.6419789921637857e-06,2.1851874407730065e-05
chi3d,-1,0.010343613103032112,0.0,0.0,5.098770634504035e-05
chi3d,-1,0.0046064360067248344,3.6419789921637857e-06,2.1851874407730065e-05,0.00015296311175916344
chi3d,-1,0.00477792602032423,3.6419789921637857e-06,2.5493853172520176e-05,0.00012746926222462207
chi3d,-1,0.012601062655448914,0.0,0.0,4.006176823168062e-05
chi3d,-1,0.005980199668556452,0.0,1.4567915968655143e-05,4.734572576126084e-05
chi3d,-1,0.007008154410868883,0.0,1.0925937203865033e-05,8.012353646336123e-05
chi3d,-1,0.015002237632870674,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.009411296807229519,0.0,3.6419789921637857e-06,1.8209895642939955e-05
chi3d,-1,0.011262267827987671,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.009029903449118137,0.0,3.6419789921637857e-06,4.006176823168062e-05
chi3d,-1,0.008141275495290756,0.0,3.6419789921637857e-06,2.1851874407730065e-05
chi3d,-1,0.016324594616889954,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.011585752479732037,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.01143037062138319,0.0,0.0,1.8209895642939955e-05
chi3d,-1,0.06745000928640366,0.0,0.0,0.0
chi3d,-1,0.007134589366614819,0.0,7.2839579843275715e-06,1.8209895642939955e-05
chi3d,-1,0.10640386492013931,0.0,0.0,0.0
chi3d,-1,0.0076193781569600105,0.0,7.2839579843275715e-06,6.191364082042128e-05
chi3d,-1,0.0076817055232822895,0.0,7.2839579843275715e-06,2.5493853172520176e-05
chi3d,-1,0.02556375041604042,0.0,0.0,0.0
chi3d,-1,0.009499548934400082,0.0,7.2839579843275715e-06,2.9135831937310286e-05
chi3d,-1,0.026509219780564308,0.0,0.0,0.0
chi3d,-1,0.013160969130694866,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.009069421328604221,0.0,3.6419789921637857e-06,1.8209895642939955e-05
chi3d,-1,0.014946511946618557,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.004421574994921684,3.6419789921637857e-06,1.0925937203865033e-05,4.734572576126084e-05
chi3d,-1,0.01666606217622757,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.009796095080673695,0.0,3.6419789921637857e-06,2.1851874407730065e-05
chi3d,-1,0.0023417146876454353,7.2839579843275715e-06,8.740749763092026e-05,0.0004625313449651003
chi3d,-1,0.0023417146876454353,2.5493853172520176e-05,0.00010561739327386022,0.0004661733109969646
chi3d,-1,0.008896907791495323,0.0,3.6419789921637857e-06,4.370374881546013e-05
chi3d,-1,0.009290184825658798,0.0,3.6419789921637857e-06,1.0925937203865033e-05
chi3d,-1,0.00740515161305666,0.0,7.2839579843275715e-06,1.8209895642939955e-05
chi3d,-1,0.007058999966830015,0.0,1.0925937203865033e-05,5.827166387462057e-05
chi3d,-1,0.009692106395959854,0.0,3.6419789921637857e-06,1.8209895642939955e-05
chi3d,-1,0.004784159827977419,3.6419789921637857e-06,3.6419789921637857e-06,2.5493853172520176e-05
chi3d,-1,0.024816026911139488,0.0,0.0,0.0
chi3d,-1,0.010113434866070747,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.012881743721663952,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.008593611419200897,0.0,3.6419789921637857e-06,2.5493853172520176e-05
chi3d,-1,0.04121134430170059,0.0,0.0,0.0
chi3d,-1,0.013215203769505024,0.0,0.0,2.9135831937310286e-05
chi3d,-1,0.0175815150141716,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.014838448725640774,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.010929213836789131,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.005899924784898758,0.0,7.2839579843275715e-06,4.734572576126084e-05
chi3d,-1,0.011739077046513557,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.0064869774505496025,0.0,7.2839579843275715e-06,1.0925937203865033e-05
chi3d,-1,0.010195611976087093,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.015128841623663902,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.005415300838649273,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.0061666653491556644,0.0,3.6419789921637857e-06,2.9135831937310286e-05
chi3d,-1,0.012779543176293373,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.02667061798274517,0.0,0.0,0.0
chi3d,-1,0.01685454696416855,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.004114330746233463,3.6419789921637857e-06,7.2839579843275715e-06,2.5493853172520176e-05
chi3d,-1,0.00645935395732522,0.0,3.6419789921637857e-06,5.462968329084106e-05
chi3d,-1,0.012872486375272274,0.0,0.0,4.006176823168062e-05
chi3d,-1,0.00779340323060751,0.0,1.4567915968655143e-05,5.827166387462057e-05
chi3d,-1,0.06928606331348419,0.0,0.0,0.0
chi3d,-1,0.003966815769672394,7.2839579843275715e-06,4.370374881546013e-05,0.0002767904079519212
chi3d,-1,0.004943470936268568,3.6419789921637857e-06,3.6419789921637857e-06,8.376551704714075e-05
chi3d,-1,0.006596316583454609,0.0,1.0925937203865033e-05,6.91976019879803e-05
chi3d,-1,0.00645935395732522,0.0,3.6419789921637857e-06,2.5493853172520176e-05
chi3d,-1,0.0148665402084589,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.025698628276586533,0.0,0.0,0.0
chi3d,-1,0.0076583921909332275,0.0,7.2839579843275715e-06,8.012353646336123e-05
chi3d,-1,0.009442909620702267,0.0,3.6419789921637857e-06,9.833343210630119e-05
chi3d,-1,0.010874539613723755,0.0,0.0,7.648155587958172e-05
chi3d,-1,0.013282686471939087,0.0,0.0,1.8209895642939955e-05
chi3d,-1,0.00390625,3.6419789921637857e-06,7.2839579843275715e-06,5.462968329084106e-05
chi3d,-1,0.006156992167234421,0.0,7.2839579843275715e-06,0.00012018530833302066
chi3d,-1,0.011677988804876804,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.009461827576160431,0.0,3.6419789921637857e-06,1.0925937203865033e-05
chi3d,-1,0.016179727390408516,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.01344326138496399,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.025009820237755775,0.0,0.0,0.0
chi3d,-1,0.02908041700720787,0.0,0.0,0.0
chi3d,-1,0.0068359375,0.0,1.4567915968655143e-05,0.0002039508253801614
chi3d,-1,0.017075886949896812,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.01270469930022955,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.03614600747823715,0.0,0.0,0.0
